Migdal Epic Israel - Stage 3
GC
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Stage 3,Time,Gap
Finished,50,38,76-1,Omri Arbel,ISR,no,,M,arbel strauss - carmel new fields,Men,46:31.1,5:07:39.0,4:44:21.0,3:20:03.0,13:58:34.1,+3:20:12.9
Finished,50,38,76-2,Dan Carmel,ISR,no,,M,arbel strauss - carmel new fields,Men,46:31.1,5:07:39.0,4:44:21.0,3:20:03.0,13:58:34.1,+3:20:12.9
Finished,51,39,84-1,Tom Itzhaki,ISR,no,,M,TCH-Jinga p/b Specialized,Men,47:46.1,4:59:27.0,4:56:49.0,3:15:24.0,13:59:26.1,+3:21:04.9
Finished,51,39,84-2,Chen Schreiber,ISR,no,,M,TCH-Jinga p/b Specialized,Men,47:46.1,4:59:27.0,4:56:49.0,3:15:24.0,13:59:26.1,+3:21:04.9
Finished,52,40,90-1,Asaf Baldav,ISR,no,,M,Iron Button,Men,48:31.4,5:09:23.0,4:51:44.0,3:11:33.0,14:01:11.4,+3:22:50.2
Finished,52,40,90-2,Eran Lerner,ISR,no,,M,Iron Button,Men,48:31.4,5:09:23.0,4:51:44.0,3:11:33.0,14:01:11.4,+3:22:50.2
Finished,53,41,19-1,David Reznik,ISR,yes,10002866635,M,The Babies,Men,45:18.7,5:40:24.0,4:35:33.0,3:02:02.0,14:03:17.7,+3:24:56.5
Finished,53,41,19-2,Netanel Ziv,ISR,yes,10016191001,M,The Babies,Men,45:18.7,5:40:24.0,4:35:33.0,3:02:02.0,14:03:17.7,+3:24:56.5
Finished,54,42,77-1,Tamir Zinger,ISR,no,,M,UT,Men,48:59.1,5:12:12.0,4:43:24.0,3:19:44.0,14:04:19.1,+3:25:57.9
Finished,54,42,77-2,Uri Wolf,ISR,no,,M,UT,Men,48:59.1,5:12:12.0,4:43:24.0,3:19:44.0,14:04:19.1,+3:25:57.9
Finished,55,43,98-1,Omer Lahav,ISR,no,,M,IGP,Men,46:29.3,5:22:02.0,4:44:12.0,3:14:30.0,14:07:13.3,+3:28:52.1
Finished,55,43,98-2,Yuval Tsahor,ISR,no,,M,IGP,Men,46:29.3,5:22:02.0,4:44:12.0,3:14:30.0,14:07:13.3,+3:28:52.1
Finished,56,3,501-1,Gil Kashi,NED,no,,M,Verge L'etape,Grand Masters,49:07.2,5:05:31.0,4:54:55.0,3:17:56.0,14:07:29.2,+3:29:08.0
Finished,56,3,501-2,Israel Chen,ISR,no,,M,Verge L'etape,Grand Masters,49:07.2,5:05:31.0,4:54:55.0,3:17:56.0,14:07:29.2,+3:29:08.0
Finished,57,3,380-1,Guy Baumel,ISR,no,,M,Yekkes,Masters,47:31.2,5:05:16.0,4:58:06.0,3:17:54.0,14:08:47.2,+3:30:26.0
Finished,57,3,380-2,Eyal Katzenstein,ISR,no,,M,Yekkes,Masters,47:31.2,5:05:16.0,4:58:06.0,3:17:54.0,14:08:47.2,+3:30:26.0
Finished,58,4,304-1,Dvir Almog,ISR,no,,M,Team ehud and dvir,Masters,47:36.5,5:15:11.0,5:07:04.0,3:01:08.0,14:10:59.5,+3:32:38.3
Finished,58,4,304-2,Ehud Abitboull,ISR,no,,M,Team ehud and dvir,Masters,47:36.5,5:15:11.0,5:07:04.0,3:01:08.0,14:10:59.5,+3:32:38.3
Finished,59,5,302-1,Dan Zigmond,ISR,no,,M,Tim-zezu,Masters,48:22.4,5:14:32.0,4:55:43.0,3:24:30.0,14:23:07.4,+3:44:46.2
Finished,59,5,302-2,Roy Haker,ISR,no,,M,Tim-zezu,Masters,48:22.4,5:14:32.0,4:55:43.0,3:24:30.0,14:23:07.4,+3:44:46.2
Finished,60,44,46-1,Nir Zohar,ISR,no,,M,TBD,Men,47:59.6,5:35:29.0,4:40:07.0,3:20:04.0,14:23:39.6,+3:45:18.4
Finished,60,44,46-2,Mayyan Gil,ISR,no,,M,TBD,Men,47:59.6,5:35:29.0,4:40:07.0,3:20:04.0,14:23:39.6,+3:45:18.4
Finished,61,6,388-1,Shavit Kohavi,ISR,no,,M,Dynamo&igp racing team,Masters,47:41.5,5:04:14.0,5:15:30.0,3:19:00.0,14:26:25.5,+3:48:04.3
Finished,61,6,388-2,Amity Cohen,ISR,no,,M,Dynamo&igp racing team,Masters,47:41.5,5:04:14.0,5:15:30.0,3:19:00.0,14:26:25.5,+3:48:04.3
Finished,62,45,51-1,Julian Haas,GER,no,,M,Freiburg?s Finest,Men,47:34.1,5:15:25.0,5:05:24.0,3:20:23.0,14:28:46.1,+3:50:24.9
Finished,62,45,51-2,Florian Lickert,GER,no,,M,Freiburg?s Finest,Men,47:34.1,5:15:25.0,5:05:24.0,3:20:23.0,14:28:46.1,+3:50:24.9
Finished,63,46,38-1,Jakub Jirko,CZE,no,,M,MTBS.cz Racing,Men,47:27.9,6:00:55.0,4:32:54.0,3:11:30.0,14:32:46.9,+3:54:25.7
Finished,63,46,38-2,Martin Hajny,CZE,no,,M,MTBS.cz Racing,Men,47:27.9,6:00:55.0,4:32:54.0,3:11:30.0,14:32:46.9,+3:54:25.7
Finished,64,7,382-1,Nati Thawco,ISR,no,,M,Buttons-adiga cycling,Masters,49:23.5,5:13:13.0,5:10:30.0,3:24:58.0,14:38:04.5,+3:59:43.3
Finished,64,7,382-2,Musa Gerchad,ISR,no,,M,Buttons-adiga cycling,Masters,49:23.5,5:13:13.0,5:10:30.0,3:24:58.0,14:38:04.5,+3:59:43.3
Finished,65,8,341-1,Barak Herszkowicz,ISR,no,,M,Raykowicz,Masters,50:35.4,5:20:32.0,5:10:31.0,3:18:09.0,14:39:47.4,+4:01:26.2
Finished,65,8,341-2,Yossi Rayk,ISR,no,,M,Raykowicz,Masters,50:35.4,5:20:32.0,5:10:31.0,3:18:09.0,14:39:47.4,+4:01:26.2
Finished,66,47,68-1,Matan Gedulter,ISR,no,,M,MO²,Men,48:41.8,5:24:39.0,5:13:30.0,3:14:08.0,14:40:58.8,+4:02:37.6
Finished,66,47,68-2,Ori Levy,ISR,no,,M,MO²,Men,48:41.8,5:24:39.0,5:13:30.0,3:14:08.0,14:40:58.8,+4:02:37.6
Finished,67,9,328-1,Avi Hadar,ISR,no,,M,KUKIYOT2,Masters,47:54.3,5:00:02.0,5:24:20.0,3:28:48.0,14:41:04.3,+4:02:43.1
Finished,67,9,328-2,David Oz,ISR,no,,M,KUKIYOT2,Masters,47:54.3,5:00:02.0,5:24:20.0,3:28:48.0,14:41:04.3,+4:02:43.1
Finished,68,48,86-1,Noah Thakoo,ISR,no,,M,adiga cycling,Men,54:54.8,5:29:41.0,4:56:50.0,3:24:58.0,14:46:23.8,+4:08:02.6
Finished,68,48,86-2,Adam Gerchad,ISR,no,,M,adiga cycling,Men,54:54.8,5:29:41.0,4:56:50.0,3:24:58.0,14:46:23.8,+4:08:02.6
Finished,69,4,504-1,Oran Uzrad,ISR,no,,M,lugasy&uzrad,Grand Masters,48:56.4,5:29:16.0,5:10:12.0,3:18:57.0,14:47:21.4,+4:09:00.2
Finished,69,4,504-2,Nadav Lugasy,ISR,no,,M,lugasy&uzrad,Grand Masters,48:56.4,5:29:16.0,5:10:12.0,3:18:57.0,14:47:21.4,+4:09:00.2
Leader,70,1,206-1,Ivan Grenavtsev,RUS,no,,M,Corto,Mixed,50:44.7,5:18:59.0,5:15:03.0,3:24:17.0,14:49:03.7,+4:10:42.5
Leader,70,1,206-2,Seda Grenavtseva,RUS,no,,F,Corto,Mixed,50:44.7,5:18:59.0,5:15:03.0,3:24:17.0,14:49:03.7,+4:10:42.5
Finished,71,9,105-1,Virag Buzsaki,HUN,yes,10014856441,F,Hungarian National Team (HUN),Women,47:54.8,5:23:42.0,5:22:50.0,3:19:49.0,14:54:15.8,+4:15:54.6
Finished,71,9,105-2,Regina Schmidel,HUN,yes,10011197117,F,Hungarian National Team (HUN),Women,47:54.8,5:23:42.0,5:22:50.0,3:19:49.0,14:54:15.8,+4:15:54.6
